Map,Call Time,Dispatch Time,Incident Desc,Disposition,Event Number,Location,Priority,Case,Date
,04/01/2025 05:19:58 PM,04/01/2025 05:33:19 PM,Motor Vehicle No Injury,INFORMATION ONLY,25083683,"COBURG RD/JEPPESEN ACRES RD, EUG",3,,04/01/2025
,04/01/2025 05:17:50 PM,04/01/2025 05:44:56 PM,Dispute,RESOLVED,25083680,"1235 HUGHES ST, EUG",4,,04/01/2025
,04/01/2025 05:05:45 PM,04/01/2025 05:15:16 PM,Reckless Driving,GONE ON ARRIVAL,25083672,"CHAMBERS ST/W 6TH AVE, EUG",3,,04/01/2025
,04/01/2025 05:02:08 PM,04/01/2025 05:16:58 PM,Traffic Hazard,PATROL CHECK,25083667,"4 I105 WB, EUG",3,,04/01/2025
,04/01/2025 04:57:45 PM,04/01/2025 05:21:16 PM,Reckless Driving,GONE ON ARRIVAL,25083666,"W 11TH AVE/S BERTELSEN RD, EUG",3,,04/01/2025
,04/01/2025 04:56:58 PM,,"Dog(s), Barking",WARNING,25083665,"945 CHAMBERS ST, EUG",P,,04/01/2025
,04/01/2025 04:54:31 PM,04/01/2025 05:05:54 PM,Location Stolen Property,REPORT TAKEN,25083664,"855 SENECA RD, EUG",4,2505185,04/01/2025
,04/01/2025 04:44:02 PM,04/01/2025 06:00:12 PM,Criminal Trespass,UNABLE TO LOCATE,25083658,"3330 ROANOKE AVE, EUG",4,,04/01/2025
,04/01/2025 04:19:14 PM,04/01/2025 04:19:14 PM,Person Stop,UNIFORM TRAFFIC CITATION ISSUED,25083640,"W 1ST AVE/JEFFERSON ST, EUG",6,,04/01/2025
,04/01/2025 03:59:05 PM,04/01/2025 04:02:12 PM,Dispute,UNABLE TO LOCATE,25083619,"4419 COMMERCE ST, EUG",3,,04/01/2025
,04/01/2025 03:51:12 PM,04/01/2025 03:54:04 PM,Disorderly Subject,UNABLE TO LOCATE,25083612,"1410 W 6TH AVE, EUG",3,,04/01/2025
,04/01/2025 03:38:57 PM,04/01/2025 04:05:44 PM,Blocked Alley,RESOLVED,25083603,"WALNUT ALY/E 15TH AVE, EUG",5,,04/01/2025
,04/01/2025 03:23:12 PM,04/01/2025 03:23:13 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083584,"E 10TH AVE/PEARL ST, EUG",6,,04/01/2025
,04/01/2025 03:16:15 PM,04/01/2025 03:18:20 PM,Alarm,FALSE ALARM,25083578,"99 W 10TH AVE, EUG",P,,04/01/2025
,04/01/2025 03:12:53 PM,04/01/2025 03:15:34 PM,"Dog(s), Vicious",GONE ON ARRIVAL,25083575,"W 7TH AVE/LAWRENCE ST, EUG",3,,04/01/2025
,04/01/2025 02:53:34 PM,04/01/2025 02:53:34 PM,Traffic Stop,WARNING,25083561,"W 7TH PL/MCKINLEY ST, EUG",6,,04/01/2025
,04/01/2025 02:47:33 PM,04/01/2025 02:56:43 PM,Dispute,CIVIL ISSUE,25083551,"77 SPRINGWOOD DR, EUG",4,,04/01/2025
,04/01/2025 02:09:02 PM,04/01/2025 02:17:11 PM,Illegal Motorcycle(s),INFORMATION ONLY,25083526,"65 DIVISION AVE, EUG",4,,04/01/2025
,04/01/2025 01:50:58 PM,,Theft,REPORT TAKEN,25083514,"155 DAY ISLAND RD, EUG",P,2505177,04/01/2025
,04/01/2025 01:50:26 PM,04/01/2025 02:01:11 PM,Dog Bite,ADVISED,25083510,"617 ELLSWORTH ST, EUG",3,,04/01/2025
,04/01/2025 01:49:18 PM,04/01/2025 01:59:42 PM,Recovered Stolen Vehicle,FOLLOW UP INVESTIGATION,25083509,"315 E 31ST AVE, EUG",P,,04/01/2025
,04/01/2025 01:46:36 PM,04/01/2025 01:46:36 PM,Assist Outside Agency,ARREST,25083507,"BERNTZEN RD/ELMIRA RD, EUG",P,2505180,04/01/2025
,04/01/2025 01:33:18 PM,04/01/2025 01:33:18 PM,Illegal Camping,WARNING,25083501,"TYINN ST/W 10TH PL, EUG",P,,04/01/2025
,04/01/2025 01:25:28 PM,04/01/2025 01:34:40 PM,Dispute,REPORT TAKEN,25083498,"3875 KINCAID ST, EUG",P,2505178,04/01/2025
,04/01/2025 01:21:11 PM,04/01/2025 01:23:09 PM,Alarm,REPORT TAKEN,25083494,"3767 WESTLEIGH ST, EUG",P,2505175,04/01/2025
,04/01/2025 12:55:15 PM,04/01/2025 01:07:18 PM,Disorderly Subject,FIELD INVESTIGATION,25083476,"E 4TH AVE/COBURG RD, EUG",3,,04/01/2025
,04/01/2025 12:41:31 PM,04/01/2025 12:49:53 PM,Unauthorized Use of Vehicle,REPORT TAKEN,25083462,"1809 W 6TH AVE, EUG",3,2505176,04/01/2025
,04/01/2025 12:34:55 PM,04/01/2025 12:51:20 PM,Criminal Trespass,WARNING,25083458,"787 VAN BUREN ST, EUG",4,,04/01/2025
,04/01/2025 12:26:09 PM,04/01/2025 12:32:31 PM,Dispute,ADVISED,25083450,"1333 W 7TH AVE, EUG",3,,04/01/2025
,04/01/2025 12:22:09 PM,04/01/2025 12:22:09 PM,Criminal Trespass,PATROL CHECK,25083444,"907 W 3RD AVE, EUG",P,,04/01/2025
,04/01/2025 12:00:43 PM,04/01/2025 12:00:43 PM,Theft,REPORT TAKEN,25083426,"3000 GATEWAY ST, SPR",P,2505170,04/01/2025
,04/01/2025 11:57:09 AM,04/01/2025 12:09:41 PM,Motor Vehicle Unknown,UNABLE TO LOCATE,25083423,"2960-BLK ALDER ST, EUG",1,,04/01/2025
,04/01/2025 11:45:49 AM,04/01/2025 11:45:49 AM,Assist Public Works,CITED IN LIEU OF CUSTODY,25083417,"W 1ST AVE/JEFFERSON ST, EUG",P,2505166,04/01/2025
,04/01/2025 11:26:58 AM,04/01/2025 12:10:32 PM,Disorderly Subject,ADVISED,25083401,"WILLAMETTE ST/W 11TH AVE, EUG",3,,04/01/2025
,04/01/2025 11:25:03 AM,04/01/2025 11:25:03 AM,Traffic Stop,WARNING,25083398,"HWY 99N/FAIRFIELD AVE, EUG",6,,04/01/2025
,04/01/2025 11:24:17 AM,04/01/2025 11:46:13 AM,Prowler(s),FIELD INVESTIGATION,25083397,"3515 KINSROW AVE, EUG",3,,04/01/2025
,04/01/2025 11:16:39 AM,04/01/2025 11:33:39 AM,Criminal Trespass,GONE ON ARRIVAL,25083391,"2893 OAK ST, EUG",4,,04/01/2025
,04/01/2025 11:15:28 AM,04/01/2025 11:39:55 AM,Shoplifter(s),CITED IN LIEU OF CUSTODY,25083389,"185 E 18TH AVE, EUG",3,2505167,04/01/2025
,04/01/2025 11:14:07 AM,04/01/2025 11:42:22 AM,Criminal Trespass,RESOLVED,25083388,"637 W 7TH AVE, EUG",4,,04/01/2025
,04/01/2025 10:58:20 AM,04/01/2025 10:58:20 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083373,"W 7TH AVE/MADISON ST, EUG",6,,04/01/2025
,04/01/2025 10:46:21 AM,04/01/2025 10:46:21 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083362,"W 6TH AVE/GRANT ST, EUG",6,,04/01/2025
,04/01/2025 10:43:44 AM,04/01/2025 10:43:44 AM,Traffic Stop,FIELD INVESTIGATION,25083360,"E 8TH AVE/MILL ST, EUG",6,,04/01/2025
,04/01/2025 10:41:14 AM,04/01/2025 10:41:14 AM,Assist Public Works,ASSISTED,25083356,"W 1ST AVE/MADISON ST, EUG",P,,04/01/2025
,04/01/2025 10:39:22 AM,04/01/2025 10:46:42 AM,"Runaway(s), Juvenile",ASSISTED,25083355,"4001 POTTER ST, EUG",4,,04/01/2025
,04/01/2025 10:38:15 AM,04/01/2025 10:38:15 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083354,"E BROADWAY/FERRY ST, EUG",6,,04/01/2025
,04/01/2025 10:34:00 AM,04/01/2025 10:34:00 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083350,"1412 W 7TH AVE, EUG",6,,04/01/2025
,04/01/2025 10:30:30 AM,04/01/2025 10:30:30 AM,Assist Public Works,UNIFORM TRAFFIC CITATION ISSUED,25083346,"W 4TH AVE/MONROE ST, EUG",P,,04/01/2025
,04/01/2025 10:26:29 AM,04/01/2025 10:26:29 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083341,"E 6TH AVE/HIGH ST, EUG",6,,04/01/2025
,04/01/2025 10:26:02 AM,04/01/2025 10:26:03 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083340,"E 4TH AVE/PEARL ST, EUG",6,,04/01/2025
,04/01/2025 10:23:28 AM,04/01/2025 10:30:52 AM,Dispute,WELFARE CHECK DONE,25083337,"735 E 14TH AVE, EUG",3,,04/01/2025
,04/01/2025 10:19:29 AM,,Fraud,REPORT TAKEN,25083335,"145 E 18TH AVE, EUG",P,2505164,04/01/2025
,04/01/2025 10:14:29 AM,04/01/2025 10:14:29 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083326,"SENECA RD/W 11TH AVE, EUG",6,,04/01/2025
,04/01/2025 10:01:18 AM,04/01/2025 10:01:18 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083319,"E 6TH AVE/PEARL ST, EUG",6,,04/01/2025
,04/01/2025 09:57:09 AM,04/01/2025 09:57:09 AM,Assist Public Works,ASSISTED,25083315,"W 6TH ALY/JEFFERSON ST, EUG",P,,04/01/2025
,04/01/2025 09:48:24 AM,04/01/2025 09:48:24 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083309,"2489 PRAIRIE RD, EUG",6,,04/01/2025
,04/01/2025 09:46:50 AM,04/01/2025 12:15:51 PM,Dispute,RESOLVED,25083307,"95 N WASHINGTON ST, EUG",4,,04/01/2025
,04/01/2025 09:42:46 AM,,Theft from Vehicle,REPORT TAKEN,25083304,"2695 WOODSTONE PL, EUG",P,2505161,04/01/2025
,04/01/2025 09:40:47 AM,04/01/2025 09:55:00 AM,Motor Vehicle Unknown,PATROL CHECK,25083301,"4550 W 11TH AVE, EUG",1,,04/01/2025
,04/01/2025 09:40:27 AM,04/01/2025 09:40:27 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083300,"BELTLINE WB/NORTHWEST EXPRESSWAY, EUG",6,,04/01/2025
,04/01/2025 09:35:15 AM,04/01/2025 09:39:03 AM,Abandoned Animal,ASSISTED,25083298,"W 7TH AVE/CHAMBERS ST, EUG",5,,04/01/2025
,04/01/2025 09:32:23 AM,04/01/2025 10:20:51 AM,Criminal Trespass,GONE ON ARRIVAL,25083297,"90 COMMONS DR, EUG",4,,04/01/2025
,04/01/2025 09:18:35 AM,04/01/2025 09:37:47 AM,Dispute,FIELD INVESTIGATION,25083294,"951 W 6TH AVE, EUG",3,,04/01/2025
,04/01/2025 08:58:48 AM,04/01/2025 09:00:58 AM,"Accident, Vehicle-Pedestrian",REPORT TAKEN,25083279,"COBURG RD/OAKWAY RD, EUG",1,2505159,04/01/2025
,04/01/2025 08:57:33 AM,04/01/2025 08:57:33 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083276,"BELTLINE EB/BARGER DR, EUG",6,,04/01/2025
,04/01/2025 08:51:24 AM,04/01/2025 08:55:07 AM,Unlawful Vehicle Entry,ARREST,25083272,"429 E 15TH AVE, EUG",3,2505160,04/01/2025
,04/01/2025 08:50:55 AM,04/01/2025 08:54:21 AM,Damaged City Property,REPORT TAKEN,25083271,"2060 MARTIN LUTHER KING JR BLVD, EUG",4,2505158,04/01/2025
,04/01/2025 08:45:11 AM,04/01/2025 08:45:12 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083265,"30296 BELTLINE, EUG",6,,04/01/2025
,04/01/2025 08:40:50 AM,04/01/2025 08:45:41 AM,Burglary,REPORT TAKEN,25083264,"1385 OAKWAY RD, EUG",3,2505163,04/01/2025
,04/01/2025 08:34:09 AM,04/01/2025 08:34:09 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083257,"BARGER DR/CUBIT ST, EUG",6,,04/01/2025
,04/01/2025 08:31:15 AM,04/01/2025 08:31:15 AM,Illegal Camping,UNIFORM TRAFFIC CITATION ISSUED,25083251,"WASHINGTON ST/W 5TH ALY, EUG",P,,04/01/2025
,04/01/2025 08:17:03 AM,04/01/2025 08:18:44 AM,Illegal Burning,INFORMATION ONLY,25083238,"N GAME FARM RD/I5 SB, EUG",5,,04/01/2025
,04/01/2025 08:15:16 AM,04/01/2025 08:15:16 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083232,"686 BELTLINE WB, EUG",6,,04/01/2025
,04/01/2025 08:06:54 AM,04/01/2025 08:06:54 AM,Traffic Stop,ADVISED,25083224,"W 2ND AVE/CHAMBERS ST, EUG",6,,04/01/2025
,04/01/2025 07:54:39 AM,04/01/2025 08:00:21 AM,Disorderly Subject,ARREST,25083211,"364 W 7TH AVE, EUG",3,2505155,04/01/2025
,04/01/2025 07:54:09 AM,04/01/2025 07:54:10 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083209,"IRVINGTON DR/BYRON ST, EUG",6,,04/01/2025
,04/01/2025 07:45:46 AM,,Criminal Mischief,REPORT TAKEN,25083219,"180 SANTA CLARA AVE, EUG",P,2505153,04/01/2025
,04/01/2025 07:41:33 AM,04/01/2025 07:43:45 AM,Traffic Hazard,RESOLVED,25083199,"E 24TH AVE/HILYARD ST, EUG",3,,04/01/2025
,04/01/2025 07:40:31 AM,04/01/2025 07:40:31 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25083198,"220 IRVINGTON DR, EUG",6,,04/01/2025
,04/01/2025 07:38:27 AM,04/01/2025 07:55:16 AM,Illegal Burning,GONE ON ARRIVAL,25083195,"JEFFERSON ST/W BROADWAY ALY, EUG",5,,04/01/2025
,04/01/2025 07:29:04 AM,04/01/2025 07:29:04 AM,Traffic Stop,FIELD INVESTIGATION,25083186,"IRVINGTON DR/KORBEL ST, EUG",6,,04/01/2025
,04/01/2025 07:25:16 AM,04/01/2025 07:28:11 AM,Criminal Trespass,PATROL CHECK,25083181,"112 E 10TH AVE, EUG",4,,04/01/2025
,04/01/2025 07:18:57 AM,04/01/2025 07:18:57 AM,Traffic Stop,FIELD INVESTIGATION,25083170,"19733 I5 SB, EUG",6,,04/01/2025
,04/01/2025 07:16:04 AM,04/01/2025 07:33:36 AM,Burglary,REPORT TAKEN,25083168,"1809 W 6TH AVE, EUG",4,2505151,04/01/2025
,04/01/2025 07:01:00 AM,04/01/2025 07:41:14 AM,Dispute,FIELD INVESTIGATION,25083158,"2760 WILLAMETTE ST, EUG",3,,04/01/2025
,04/01/2025 07:00:42 AM,04/01/2025 07:39:24 AM,Criminal Trespass,ARREST,25083157,"1045 GARFIELD ST, EUG",4,2505157,04/01/2025
,04/01/2025 06:06:22 AM,04/01/2025 06:34:28 AM,Prowler(s),PATROL CHECK,25083145,"2188 N DANEBO AVE, EUG",3,,04/01/2025
,04/01/2025 06:01:39 AM,04/01/2025 07:11:28 AM,Suspicious Subject(s),RESOLVED,25083143,"155 HIGH ST, EUG",3,,04/01/2025
,04/01/2025 05:49:35 AM,04/01/2025 06:38:45 AM,Disabled Vehicle(s),GONE ON ARRIVAL,25083137,"94 I105 WB, EUG",3,,04/01/2025
,04/01/2025 05:28:35 AM,04/01/2025 07:14:11 AM,Dispute,ADVISED,25083129,"W 7TH AVE/BLAIR BLVD, EUG",3,,04/01/2025
,04/01/2025 05:02:50 AM,04/01/2025 06:52:15 AM,Criminal Trespass,WARNING,25083119,"3159 W 11TH AVE, EUG",4,,04/01/2025
,04/01/2025 04:56:24 AM,04/01/2025 06:54:27 AM,Suspicious Subject(s),INFORMATION ONLY,25083114,"2121 MARTIN LUTHER KING JR BLVD, EUG",3,,04/01/2025
,04/01/2025 04:45:08 AM,04/01/2025 06:54:20 AM,Subject Screaming,INFORMATION ONLY,25083110,"550 PEARL ST, EUG",3,,04/01/2025
,04/01/2025 04:05:36 AM,04/01/2025 07:02:33 AM,Burglary,REPORT TAKEN,25083098,"978 HATTON AVE, EUG",3,2505149,04/01/2025
,04/01/2025 03:58:57 AM,04/01/2025 06:33:27 AM,Dispute,ADVISED,25083096,"5000 WHITEAKER ST, EUG",3,,04/01/2025
,04/01/2025 03:49:05 AM,04/01/2025 06:45:02 AM,Criminal Trespass,GONE ON ARRIVAL,25083093,"1080 W 7TH AVE, EUG",4,,04/01/2025
,04/01/2025 03:15:28 AM,04/01/2025 03:17:09 AM,Fight,ARREST,25083085,"1963 W 6TH AVE, EUG",6,2505146,04/01/2025
,04/01/2025 03:12:04 AM,04/01/2025 03:43:41 AM,Disorderly Subject,ARREST,25083083,"1107 S BERTELSEN RD, EUG",3,2505148,04/01/2025
,04/01/2025 02:49:32 AM,04/01/2025 02:52:56 AM,Suspicious Condition(s),ADVISED,25083078,"445 COBURG RD, EUG",3,,04/01/2025
,04/01/2025 02:36:17 AM,04/01/2025 02:40:29 AM,Alarm,ASSISTED,25083074,"540 FILLMORE ST, EUG",3,,04/01/2025
,04/01/2025 02:30:36 AM,04/01/2025 02:34:10 AM,Shot(s) Fired,INFORMATION ONLY,25083072,"BARGER DR/PORT ST, EUG",3,,04/01/2025
,04/01/2025 01:01:21 AM,04/01/2025 01:05:58 AM,Lost Subject,ASSISTED,25083046,"IRVINGTON DR/RIVER RD, EUG",3,,04/01/2025
,04/01/2025 12:47:28 AM,04/01/2025 01:35:48 AM,Dispute,CIVIL ISSUE,25083042,"77 SPRINGWOOD DR, EUG",4,,04/01/2025
,04/01/2025 12:46:07 AM,04/01/2025 12:46:07 AM,Traffic Stop,WARNING,25083040,"BAILEY HILL RD/STEWART RD, EUG",6,,04/01/2025
,04/02/2025 11:57:56 PM,,Reckless Driving,REPORT TAKEN,25084902,"VALLEY RIVER DR/DELTA SB ONRP, EUG",6,2505256,04/02/2025
,04/02/2025 11:47:45 PM,04/03/2025 12:34:03 AM,Criminal Trespass,GONE ON ARRIVAL,25084897,"4400 W 11TH AVE, EUG",4,,04/02/2025
,04/02/2025 11:47:07 PM,04/02/2025 11:50:58 PM,Criminal Trespass,ARREST,25084896,"2895 OAK ST, EUG",4,2505259,04/02/2025
,04/02/2025 11:23:36 PM,04/02/2025 11:23:37 PM,Traffic Stop,FIELD INVESTIGATION,25084889,"E 13TH AVE/MILL ALY, EUG",6,,04/02/2025
,04/02/2025 11:21:34 PM,04/02/2025 11:26:12 PM,Dispute,UNABLE TO LOCATE,25084887,"MARSHALL AVE/JAY ST, EUG",3,,04/02/2025
,04/02/2025 11:14:19 PM,04/02/2025 11:38:14 PM,Criminal Trespass,RESOLVED,25084885,"1025 WILLAMETTE ST, EUG",4,,04/02/2025
,04/02/2025 11:08:54 PM,04/02/2025 11:08:55 PM,Traffic Stop,SOBRIETY CHECK,25084880,"W 11TH AVE/WILSON ST, EUG",6,,04/02/2025
,04/02/2025 11:02:20 PM,04/02/2025 11:06:28 PM,ATL Drunk Driver,UNABLE TO LOCATE,25084875,"S BERTELSEN RD/BAILEY HILL RD, EUG",3,,04/02/2025
,04/02/2025 10:56:33 PM,04/02/2025 11:15:30 PM,Suspicious Vehicle(s),PATROL CHECK,25084871,"2589 WILLAKENZIE RD, EUG",3,,04/02/2025
,04/02/2025 10:53:33 PM,04/02/2025 11:17:55 PM,Illegal Burning,GONE ON ARRIVAL,25084869,"689 W 13TH AVE, EUG",4,,04/02/2025
,04/02/2025 10:38:29 PM,04/02/2025 11:02:15 PM,Criminal Trespass,ADVISED,25084860,"1715 W 12TH AVE, EUG",4,,04/02/2025
,04/02/2025 10:32:35 PM,04/02/2025 10:35:18 PM,Dispute,UNABLE TO LOCATE,25084858,"W BROADWAY/JACKSON ST, EUG",3,,04/02/2025
,04/02/2025 10:09:53 PM,04/02/2025 10:40:11 PM,Loud Noise,QUIET ON ARRIVAL,25084843,"ALDER ST/E 15TH ALY, EUG",5,,04/02/2025
,04/02/2025 09:54:29 PM,04/02/2025 09:59:18 PM,Prowler(s),UNABLE TO LOCATE,25084834,"1531 RIVER RD, EUG",3,,04/02/2025
,04/02/2025 09:46:47 PM,04/02/2025 09:46:47 PM,Traffic Stop,WARNING,25084831,"W 5TH AVE/BLAIR BLVD, EUG",6,,04/02/2025
,04/02/2025 09:42:17 PM,04/02/2025 10:13:25 PM,Suspicious Condition(s),PATROL CHECK,25084828,"1489 MCKINLEY CT, EUG",3,,04/02/2025
,04/02/2025 09:26:44 PM,04/02/2025 10:57:31 PM,Criminal Trespass,GONE ON ARRIVAL,25084816,"2177 W 11TH AVE, EUG",4,,04/02/2025
,04/02/2025 09:26:28 PM,04/02/2025 11:03:22 PM,Criminal Trespass,UNABLE TO LOCATE,25084815,"1156 HWY 99N, EUG",4,,04/02/2025
,04/02/2025 09:08:19 PM,04/02/2025 09:37:17 PM,Injured Animal(s),GONE ON ARRIVAL,25084807,"ROYAL AVE/LAURELHURST DR, EUG",4,,04/02/2025
,04/02/2025 08:54:53 PM,04/02/2025 08:54:53 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25084800,"E 6TH AVE/HIGH ST, EUG",6,,04/02/2025
,04/02/2025 08:33:03 PM,,Shoplifter(s),REPORT TAKEN,25084782,"306 LAWRENCE ST, EUG",P,2505254,04/02/2025
,04/02/2025 08:23:21 PM,04/02/2025 10:52:29 PM,Criminal Trespass,ADVISED,25084775,"1195 CITY VIEW ST, EUG",4,,04/02/2025
,04/02/2025 08:21:28 PM,04/02/2025 08:21:29 PM,Motor Vehicle No Injury,ASSISTED,25084771,"BARGER DR/ECHO HOLLOW RD, EUG",1,,04/02/2025
,04/02/2025 08:16:25 PM,04/02/2025 09:14:38 PM,Incomplete Call,ADVISED,25084767,"1419 E 23RD AVE, EUG",3,,04/02/2025
,04/02/2025 08:09:20 PM,04/02/2025 08:12:44 PM,Disorderly Subject,ASSISTED,25084761,"20 E BROADWAY, EUG",3,,04/02/2025
,04/02/2025 07:55:30 PM,04/02/2025 08:17:17 PM,Traffic Hazard,GONE ON ARRIVAL,25084755,"950 BELTLINE WB, EUG",3,,04/02/2025
,04/02/2025 07:49:51 PM,04/02/2025 08:28:26 PM,Traffic Signal Malfunction,UNFOUNDED,25084749,"67-BLK W 29TH AVE, EUG",3,,04/02/2025
,04/02/2025 07:44:24 PM,04/02/2025 07:44:24 PM,Traffic Stop,WARNING,25084743,"W 6TH AVE/CHARNELTON ST, EUG",6,,04/02/2025
,04/02/2025 07:44:05 PM,04/02/2025 07:44:40 PM,Stab Wound,REPORT TAKEN,25084742,"2 SKINNERS BUTTE LP, EUG",1,2505252,04/02/2025
,04/02/2025 07:44:05 PM,04/02/2025 07:44:40 PM,Stab Wound(s),REPORT TAKEN,25084742,"2 SKINNERS BUTTE LP, EUG",1,2505252,04/02/2025
,04/02/2025 07:36:29 PM,04/02/2025 07:38:37 PM,Reckless Driving,UNABLE TO LOCATE,25084738,"853 BELTLINE WB, EUG",3,,04/02/2025
,04/02/2025 07:25:32 PM,04/02/2025 07:25:32 PM,Traffic Stop,WARNING,25084732,"1080 W 7TH AVE, EUG",6,,04/02/2025
,04/02/2025 07:24:41 PM,04/02/2025 07:27:21 PM,Dispute,REPORT TAKEN,25084731,"1372 ZINFANDEL LN, EUG",3,2505251,04/02/2025
,04/02/2025 07:21:39 PM,04/02/2025 07:21:39 PM,Traffic Stop,WARNING,25084728,"E 7TH AVE/OAK ST, EUG",6,,04/02/2025
,04/02/2025 07:16:01 PM,04/02/2025 07:22:56 PM,ATL Drunk Driver,INFORMATION ONLY,25084724,"55 DIVISION AVE, EUG",3,,04/02/2025
,04/02/2025 07:10:03 PM,04/02/2025 08:46:36 PM,Dispute,ADVISED,25084721,"911 HATTON AVE, EUG",4,,04/02/2025
,04/02/2025 07:06:33 PM,04/02/2025 07:18:25 PM,Criminal Trespass,PATROL CHECK,25084718,"715 W 4TH AVE, EUG",4,,04/02/2025
,04/02/2025 06:57:57 PM,04/02/2025 06:57:57 PM,Traffic Stop,WARNING,25084709,"HWY 99N/RICHARD AVE, EUG",6,,04/02/2025
,04/02/2025 06:51:41 PM,04/02/2025 06:51:41 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25084706,"I105 WB/DELTA NB HWY, EUG",6,,04/02/2025
,04/02/2025 06:26:58 PM,04/02/2025 06:26:58 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25084685,"HWY 99E/POWERLINE RD, HAR",6,,04/02/2025
,04/02/2025 06:25:33 PM,04/02/2025 06:25:33 PM,Traffic Stop,WARNING,25084682,"W 7TH AVE/WASHINGTON ST, EUG",6,,04/02/2025
 ,04/02/2025 06:09:53 PM,04/02/2025 06:09:54 PM,Traffic Stop,FIELD INVESTIGATION,25084667,"HWY 99E/W AMERICAN DR, HALSEY",6,,04/02/2025
,04/02/2025 06:05:29 PM,04/02/2025 06:36:31 PM,Hit & Run,REPORT TAKEN,25084662,"3910 DONALD ST, EUG",5,2505248,04/02/2025
,04/02/2025 06:04:53 PM,04/02/2025 06:24:56 PM,Criminal Trespass,ADVISED,25084661,"360 WILKIE ST, EUG",4,,04/02/2025
,04/02/2025 05:56:40 PM,,Criminal Mischief,REPORT TAKEN,25084657,"1199 W 11TH AVE, EUG",P,2505244,04/02/2025
,04/02/2025 05:52:51 PM,04/02/2025 06:11:59 PM,Criminal Trespass,ADVISED,25084655,"2485 ROOSEVELT BLVD, EUG",4,,04/02/2025
,04/02/2025 05:50:30 PM,04/02/2025 06:00:21 PM,Found Property,ASSISTED,25084653,"4728 CALUMET WAY, EUG",5,,04/02/2025
,04/02/2025 05:37:23 PM,04/02/2025 05:52:16 PM,Criminal Trespass,GONE ON ARRIVAL,25084644,"871 W 8TH AVE, EUG",4,,04/02/2025
,04/02/2025 05:35:03 PM,04/02/2025 05:35:03 PM,Disabled Vehicle(s),ASSISTED,25084641,"W 6TH AVE/FILLMORE ST, EUG",P,,04/02/2025
,04/02/2025 05:23:11 PM,04/02/2025 06:50:26 PM,Theft,UNABLE TO LOCATE,25084625,"CHESHIRE AVE/SKINNERS BUTTE LP, EUG",4,,04/02/2025
,04/02/2025 05:15:05 PM,04/02/2025 05:20:52 PM,Disorderly Subject,REPORT TAKEN,25084617,"W BROADWAY ALY/WASHINGTON ST, EUG",3,2505243,04/02/2025
,04/02/2025 05:13:44 PM,04/02/2025 05:18:09 PM,Disorderly Subject,WELFARE CHECK DONE,25084616,"735 E 14TH AVE, EUG",3,,04/02/2025
,04/02/2025 04:47:41 PM,04/02/2025 07:16:34 PM,Menacing,ARREST,25084595,"1272 JUHL ST, EUG",4,2505253,04/02/2025
,04/02/2025 04:28:05 PM,04/02/2025 05:43:36 PM,Dispute,REPORT TAKEN,25084583,"2725 SORREL WAY, EUG",3,2505249,04/02/2025
,04/02/2025 04:22:26 PM,04/02/2025 06:12:59 PM,Hit & Run,REPORT TAKEN,25084577,"2588 WILLAMETTE ST, EUG",6,2505248,04/02/2025
,04/02/2025 04:15:54 PM,04/02/2025 04:15:54 PM,Disorderly Subject,FALSE ALARM,25084572,"E 8TH AVE/W PARK ST, EUG",P,,04/02/2025
,04/02/2025 04:09:42 PM,04/02/2025 04:14:24 PM,Reckless Driving,REPORT TAKEN,25084566,"VALLEY RIVER DR/DELTA SB ONRP, EUG",6,2505242,04/02/2025
,04/02/2025 04:09:01 PM,04/02/2025 04:09:01 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25084564,"2350 PRAIRIE RD, EUG",6,,04/02/2025
,04/02/2025 04:08:12 PM,04/02/2025 05:53:39 PM,Dispute,REPORT TAKEN,25084563,"766 E 15TH AVE, EUG",3,2505245,04/02/2025
